speaker,id,vowel,plt_vclass,word,t,F1,F2,F3
s01,0,EY,eyF,OKAY,32.389,753.7679317077373,2145.3031197843525,2912.5159202934524
s01,0,EY,eyF,OKAY,32.398,719.4229767772396,2155.3881576663816,2912.811892541593
s01,0,EY,eyF,OKAY,32.407000000000004,751.6643748132822,2114.9967636853235,2914.2957453126246
s01,0,EY,eyF,OKAY,32.416000000000004,761.9297236894622,2087.135979993165,2931.4872661545733
s01,0,EY,eyF,OKAY,32.425000000000004,738.4409251608823,2087.780319137106,2932.6651844678067
s01,0,EY,eyF,OKAY,32.435,697.2598350643937,2123.375659468851,2936.2668363779576
s01,0,EY,eyF,OKAY,32.444,640.3432664124698,2143.4650613946833,2928.2307408519264
s01,0,EY,eyF,OKAY,32.453,539.6594369319289,2152.974644679415,2935.921124683196
s01,0,EY,eyF,OKAY,32.462,440.7575964085752,2164.288509462082,2935.623771232906
s01,0,EY,eyF,OKAY,32.471000000000004,497.16692428955093,2200.9362910613227,2944.8150547223304
s01,0,EY,eyF,OKAY,32.481,649.6447589617833,2272.6957001669743,2968.863903687091
s01,0,EY,eyF,OKAY,32.49,735.3992598229889,2338.390562577264,3013.2110328843246
s01,0,EY,eyF,OKAY,32.499,714.6545024357142,2386.14807464602,2997.1625651393383
s01,0,EY,eyF,OKAY,32.508,684.902748850454,2437.9564650024968,2869.5897710721415
s01,0,EY,eyF,OKAY,32.517,674.8256105182408,2467.64001179857,2860.815133452611
s01,0,EY,eyF,OKAY,32.527,706.7394328701188,2492.243924504023,3002.806794124961
s01,0,EY,eyF,OKAY,32.536,769.923827517565,2527.722344362369,3116.577665352154
s01,0,EY,eyF,OKAY,32.545,813.1123574209828,2543.3293558841892,3149.657916745207
s01,0,EY,eyF,OKAY,32.554,844.9345871459257,2553.15905276766,3174.1306276612113
s01,0,EY,eyF,OKAY,32.56400000000001,874.008159395041,2531.7468754536153,3188.1082018411125
s01,1,AH,uh,UM,44.63,834.6924315525016,1898.2273645256248,3157.57656871486
s01,1,AH,uh,UM,44.638000000000005,830.0936748306027,1917.3958290492,3185.6453059141945
s01,1,AH,uh,UM,44.647000000000006,800.3019838676571,1929.0945794737763,3226.0655009995207
s01,1,AH,uh,UM,44.656000000000006,727.9440617308376,1924.2498280566135,3250.698142050495
s01,1,AH,uh,UM,44.664,683.5956802016506,1911.520726859471,3239.7699507539173
s01,1,AH,uh,UM,44.673,681.3596536037883,1889.9839838416997,3225.7900404970446
s01,1,AH,uh,UM,44.682,704.180883039181,1880.5417251227668,3254.4218620454863
s01,1,AH,uh,UM,44.691,723.8134521661926,1842.169920267301,3319.0711829228517
s01,1,AH,uh,UM,44.699000000000005,733.9112236885935,1789.8664400355783,3335.0627539454463
s01,1,AH,uh,UM,44.708000000000006,744.7950628515276,1744.2011071593338,3325.817931280702
s01,1,AH,uh,UM,44.717000000000006,756.5156343683353,1742.1041837708135,3365.492339791275
s01,1,AH,uh,UM,44.726000000000006,753.9394636532667,1752.1268343389131,3468.986013060277
s01,1,AH,uh,UM,44.734,738.5147394410054,1734.5732512779807,3547.0597907389993
s01,1,AH,uh,UM,44.743,716.4975606166855,1696.2739921029763,3552.731634148452
s01,1,AH,uh,UM,44.752,717.076213362763,1680.176175623826,3517.46933738263
s01,1,AH,uh,UM,44.761,715.6055516683045,1661.4067963915084,3414.2500084068292
s01,1,AH,uh,UM,44.769000000000005,710.7969979859688,1654.9794842187473,3413.2609543493763
s01,1,AH,uh,UM,44.778000000000006,676.5314847372745,1614.4398152755812,3478.247253333308
s01,1,AH,uh,UM,44.787000000000006,662.4931984019755,1582.742424861898,3389.47395006694
s01,1,AH,uh,UM,44.79600000000001,643.1700966609835,1549.1577845292345,3137.911500225771
s01,2,AY,ay,I'M,45.343,881.0054867329688,2042.9831448751872,3158.015417060885
s01,2,AY,ay,I'M,45.346,982.6703864245465,2044.7555735888257,3178.026713842415
s01,2,AY,ay,I'M,45.35,1114.286749938425,2057.945356324881,3200.9857553962215
s01,2,AY,ay,I'M,45.354000000000006,1178.828267076928,2032.844510292578,3172.2735298981565
s01,2,AY,ay,I'M,45.357000000000006,1067.235153528609,1899.104124866733,3033.9962514045474
s01,2,AY,ay,I'M,45.361,967.6336510948324,1907.5328957384104,3045.1433364895693
s01,2,AY,ay,I'M,45.365,935.2846886713952,1916.0055993695285,3078.0196947518502
s01,2,AY,ay,I'M,45.368,905.7584715843004,1926.0576567046696,3104.1855680679537
s01,2,AY,ay,I'M,45.37200000000001,874.9244454368563,1943.0548828844555,3134.751121297717
s01,2,AY,ay,I'M,45.376000000000005,852.0126377285582,1961.765953040337,3159.634759297526
s01,2,AY,ay,I'M,45.379000000000005,831.2523921613024,1976.2726028229868,3174.5189507904342
s01,2,AY,ay,I'M,45.383,799.6032168280644,1999.952354677799,3192.261474167228
s01,2,AY,ay,I'M,45.38700000000001,773.220689946779,2029.8758646246831,3193.547887408904
s01,2,AY,ay,I'M,45.39000000000001,757.6825385343474,2051.8422790696804,3188.6058133008005
s01,2,AY,ay,I'M,45.394000000000005,734.5150045706849,2082.335101963578,3183.348013357606
s01,2,AY,ay,I'M,45.398,707.40747869019,2115.0562202421784,3180.2792833721387
s01,2,AY,ay,I'M,45.401,688.7228193992445,2134.916971112171,3182.6138890851275
s01,2,AY,ay,I'M,45.405,671.6075367826816,2154.262939156884,3195.419025935511
s01,2,AY,ay,I'M,45.409000000000006,661.0951265989193,2167.4578760507293,3200.569226600095
s01,2,AY,ay,I'M,45.413,652.2460206942236,2167.7837140377787,3201.0102637514506
s01,3,IH,i,LIVED,47.370999999999995,550.803847247307,1505.548894899459,3481.613672985374
s01,3,IH,i,LIVED,47.372,552.2298508189921,1512.865770247549,3476.6687464474026
s01,3,IH,i,LIVED,47.373,553.4719471511548,1519.4935967313909,3471.7704738337065
s01,3,IH,i,LIVED,47.373999999999995,554.5469586477165,1525.365145381876,3466.9615216903853
s01,3,IH,i,LIVED,47.376,556.2670745243768,1534.8328097991332,3457.3685813022826
s01,3,IH,i,LIVED,47.376999999999995,556.9355625769062,1538.5831298196083,3452.3851795652376
s01,3,IH,i,LIVED,47.378,557.4797049611765,1541.8601207546417,3447.1956172947707
s01,3,IH,i,LIVED,47.379999999999995,558.1737073872582,1547.602088921079,3436.2451013222117
s01,3,IH,i,LIVED,47.381,558.3097404647092,1550.3119479518691,3430.5356235255563
s01,3,IH,i,LIVED,47.382,558.2980946358261,1553.0166846985203,3424.66748593345
s01,3,IH,i,LIVED,47.384,557.8262695727823,1558.5244239624656,3412.2791336687083
s01,3,IH,i,LIVED,47.385,557.3691634122945,1561.3427737703748,3405.6559424579236
s01,3,IH,i,LIVED,47.386,556.7679743247023,1564.2111201064265,3398.716775676061
s01,3,IH,i,LIVED,47.388,555.1322854703916,1570.163565211199,3384.1306679936943
s01,3,IH,i,LIVED,47.389,554.0880247140566,1573.29870450768,3376.788118314314
s01,3,IH,i,LIVED,47.39,552.8805458056075,1576.5796281049982,3369.695568815758
s01,3,IH,i,LIVED,47.392,549.9620112672545,1583.656983699033,3356.7395104147827
s01,3,IH,i,LIVED,47.393,548.207171746363,1587.5108829754654,3350.979049150637
s01,3,IH,i,LIVED,47.394,546.2503453770078,1591.6090043542113,3345.577708760892
s01,3,IH,i,LIVED,47.396,541.7334394335182,1600.6856885412374,3335.4994026209233
s01,6,AY,ay,MY,48.205000000000005,318.01011226451055,1159.4933964929608,2907.4443302187037
s01,6,AY,ay,MY,48.209,332.55645047316864,1194.7306781801854,2905.3411156781685
s01,6,AY,ay,MY,48.214000000000006,372.4272983496931,1189.4114349420656,2882.3583446670073
s01,6,AY,ay,MY,48.21900000000001,422.5667121452981,1356.32846609895,2911.5364298793675
s01,6,AY,ay,MY,48.223000000000006,464.3769413548729,1426.05641532223,2953.2933396088106
s01,6,AY,ay,MY,48.22800000000001,512.4536013320158,1503.6827800864717,3034.553014154178
s01,6,AY,ay,MY,48.233,547.7254552877786,1598.809206249043,3141.55158034922
s01,6,AY,ay,MY,48.23800000000001,559.1347722476474,1696.0323778515442,3200.23631555674
s01,6,AY,ay,MY,48.242,558.4620952443629,1748.7804287866138,3249.8994290538103
s01,6,AY,ay,MY,48.24700000000001,561.2828364923387,1800.084098010002,3292.718875420427
s01,6,AY,ay,MY,48.25200000000001,560.58773151537,1848.3190702775971,3319.1103990163574
s01,6,AY,ay,MY,48.257000000000005,567.0043944101683,1899.9532336893783,3318.0505276048248
s01,6,AY,ay,MY,48.26100000000001,576.3004463397584,1941.124884506131,3326.0784011995142
s01,6,AY,ay,MY,48.266000000000005,575.7290038777902,1986.2029664734343,3350.465815601542
s01,6,AY,ay,MY,48.27100000000001,561.6835216083547,2034.0205268692944,3379.014615646622
s01,6,AY,ay,MY,48.276,554.1409742434429,2080.9981446081165,3405.732652376073
